"station_id","station_name","latitude","longitude","elevation","tz"
90802,"TALLULAH",34.90583,-83.33444,2728,"America/New_York"
450124,"HURRICANE",47.97038,-123.4987,5262,"America/Los_Angeles"
41901,"DUNCAN",39.14356,-120.50939,7182,"America/Los_Angeles"
40427,"NOTCHKO",41.28972,-123.8575,477,"America/Los_Angeles"
451809,"ASHFORD",46.75522,-122.10975,1421,"America/Los_Angeles"
350308,"MILLER",46.0225,-123.27167,1031,"America/Los_Angeles"
351811,"WILKINSON RIDGE",44.33247,-123.71797,1346,"America/Los_Angeles"
499908,"SCHOFIELD EAST",21.49944,-157.99333,1250,"Pacific/Honolulu"
352553,"BRUSH CREEK",44.28428,-122.84942,2130,"America/Los_Angeles"
41018,"MENDOCINO PASS",39.80742,-122.94511,5382,"America/Los_Angeles"
451919,"ORR CREEK",46.35389,-121.60417,3000,"America/Los_Angeles"
228202,"MS SANDHILL CRANE - FTS",30.45278,-88.66167,25,"America/Chicago"
40618,"SIMS",41.0713,-122.36993,2537,"America/Los_Angeles"
352820,"SEVEN MILE CREEK",43.21,-124.3175,438,"America/Los_Angeles"
90601,"TOCCOA",34.765,-84.07444,2415,"America/New_York"
228204,"GRAND BAY",30.43833,-88.42556,7,"America/Chicago"
496006,"MAUNA LOA",19.47361,-155.35889,5520,"Pacific/Honolulu"
228103,"CAMP KELLER",30.52423,-88.98203,130,"America/Chicago"
228002,"HANCOCK",30.45111,-89.45444,98,"America/Chicago"
91201,"CAMP MERRILL",34.60866,-84.13086,2021,"America/New_York"
40918,"HUMBUG SUMMIT",40.10952,-121.3827,6714,"America/Los_Angeles"
100107,"SADDLE PASS",48.93855,-116.73451,5120,"America/Los_Angeles"
16302,"SRS",31.01111,-87.05556,170,"America/Chicago"
380201,"TABLE ROCK",35.02912,-82.69328,1243,"America/New_York"
80202,"NAVAL LIVE OAKS",30.36639,-87.1375,15,"America/Chicago"
350718,"RED BOX",45.0275,-121.92111,3250,"America/Los_Angeles"
407502,"TELLICO",35.38142,-84.12292,1920,"America/New_York"
227802,"BLACK CREEK",30.84889,-89.03417,275,"America/Chicago"
353031,"CINNAMON",43.32083,-122.10667,4834,"America/Los_Angeles"
451705,"LESTER",47.21,-121.48972,1637,"America/Los_Angeles"
352558,"EMIGRANT",43.48306,-122.23028,3840,"America/Los_Angeles"
